statement,complexity_cc,complexity_ex,complexity_nested,complexity_correlation,complexity_polarity,total_complexity,complexity_density,statement_length,fre,fkg,cli,ari,dcrs
"Climate change has caused substantial damages, and increasingly irreversible losses, in terrestrial, freshwater, cryospheric and coastal and open ocean ecosystems.",0,0,0.0,0,0,0.0,0.0,25,-3.8149999999999693,18.76,23.030000000000005,22.482,14.102500000000001
The extent and magnitude of climate change impacts are larger than estimated in previous assessments.,0,0,0.0,0,0,0.0,0.0,16,33.690000000000026,12.286666666666669,15.480000000000004,13.387999999999998,12.801833333333335
"Climate change has reduced food security and affected water security due to warming, changing precipitation patterns, reduction and loss of cryospheric elements, and greater frequency and intensity of climatic extremes, thereby hindering efforts to meet Sustainable Development Goals (high confidence).",0,0,0.0,14,0,14.0,0.35,47,-11.424999999999983,24.790000000000003,20.580000000000002,29.538249999999998,15.0945
"Ocean warming in the 20th century and beyond has contributed to an overall decrease in maximum catch potential (medium confidence), compounding the impacts from overfishing for some fish stocks (high confidence).",0,0,0.0,2,0,2.0,0.06666666666666667,37,17.0861290322581,18.577419354838714,16.174193548387098,21.722258064516133,13.323777419354839
Ocean warming and ocean acidification have adversely affected food production from shellfish aquaculture and fisheries in some oceanic regions (high confidence).,0,0,0.0,4,0,4.0,0.19047619047619047,24,-3.822857142857117,19.00952380952381,20.9047619047619,20.69428571428572,12.949052380952383
Roughly half of the world’s population currently experiences severe water scarcity for at least some part of the year due to a combination of climatic and non-climatic drivers (medium confidence) (Figure 2.3).,3,0,0.0,0,0,3.0,0.09375,40,15.730000000000018,19.015000000000004,14.087499999999999,20.769375000000004,12.131825000000001
"Increasing weather and climate extreme events have exposed millions of people to acute food insecurity and reduced water security, with the largest impacts observed in many locations and/or communities in Africa, Asia, Central and South America, LDCs, Small Islands and the Arctic, and for small-scale food producers, low-income households and Indigenous Peoples globally (high confidence).",0,0,0.0,4,0,4.0,0.07142857142857142,69,-13.575454545454534,28.816363636363636,17.723636363636363,34.843818181818186,14.977227272727273
Biological responses including changes in geographic placement and shifting seasonal timing are often not sufficient to cope with recent climate change.,0,0,0.0,0,0,0.0,0.0,22,12.291428571428611,16.761904761904763,18.97142857142857,18.675714285714285,14.452861904761905
Hundreds of local losses of species have been driven by increases in the magnitude of heat extremes [..].,0,0,0.0,0,0,0.0,0.0,21,55.21529411764709,9.781176470588235,10.776470588235295,10.096666666666668,10.981464705882354
Hundreds of local losses of species have been driven by increases in [..] and mass mortality events on land and in the ocean,0,0,0.0,0,0,0.0,0.0,25,64.9245454545455,6.936363636363637,7.345454545454544,4.957826086956523,9.923918181818184
"Impacts on some ecosystems are approaching irreversibility such as the impacts of hydrological changes resulting from the retreat of glaciers, or the changes in some [..] Arctic ecosystems driven by permafrost thaw.",0,3,0.0,0,0,3.0,0.0967741935483871,36,32.818629032258116,12.532419354838712,15.593548387096774,13.402499999999996,12.045622580645162
"Impacts in ecosystems from slow-onset processes such as ocean acidification, sea level rise or regional decreases in precipitation have also been attributed to human-caused climate change.",0,4,1.0,5,0,10.0,0.35714285714285715,32,1.4834615384615688,19.511538461538468,18.530769230769227,21.098076923076924,11.606484615384616
"Climate change has contributed to desertification and exacerbated land degradation, particularly in low lying coastal areas, river deltas, drylands and in permafrost areas.",0,0,0.0,0,0,0.0,0.0,27,-11.457826086956487,20.57130434782609,19.730434782608693,20.78739130434783,13.015560869565219
